invalid_smiles,Canonicalized
Clc1c(C(=O)c2c(NC(=O)CN3CC[N+H](CCCOC4=C(c5ccccc5)Oc5c(C4=O)cccc5)CC3)ccc(Cl)c2)cccc1,c1ccc(cc1)c2c(c(=O)c3ccccc3o2)OCCC[NH+]4CCN(CC4)CC(=O)Nc5ccc(cc5C(=O)c6ccccc6Cl)Cl
O=C(OCC)C=1/C(=N\c2ccc(OC)cc2)/C(=[N+H2])NC=1[N+H3],CCOC(=O)C1=C(NC(=[NH2+])C1=Nc2ccc(cc2)OC)[NH3+]
O=[N+]([O-])c1ccc(C2C(C#N)=C([N+H3])OC=3c4c(cccc4)CCCC2=3)cc1,c1ccc2c(c1)CCCC3=C2OC(=C(C3c4ccc(cc4)[N+](=O)[O-])C#N)[NH3+]
S(C(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1)CC([N+H3])C(=O)[O-],Cc1ccc(cc1)C(c2ccc(cc2)C)(c3ccc(cc3)C)SCC(C(=O)[O-])[NH3+]
FC(F)(F)c1cc2N(CCC[N+H]3CCN(CCOCCO)CC3)c3c(Sc2cc1)cccc3,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCC[NH+]4CCN(CC4)CCOCCO
Oc1c(C[N+H](CC)CC)cc(Nc2c3[nH]c4c(c3nc3c2cccc3)cccc4)cc1,CC[NH+](CC)Cc1cc(ccc1O)Nc2c3ccccc3nc4c2[nH]c5c4cccc5
O(CC1CC[N+H2]CC1)c1c2n(CC)c(-c3c(N)non3)nc2c(C#CC(O)(C)C)nc1,CCn1c2c(cnc(c2nc1c3c(non3)N)C#CC(C)(C)O)OCC4CC[NH2+]CC4
N(C)(c1c2c([n+H]c3c1cccc3)[nH]c1c2cccc1)c1ccccc1,CN(c1ccccc1)c2c3ccccc3[nH+]c4c2c5ccccc5[nH]4
O=C1/C(=C/c2ccccc2)/SC(Nc2scc(-c3nc(NC=4S/C(=C\c5ccccc5)/C(=O)[N+H]=4)sc3)n2)=[N+H]1,c1ccc(cc1)C=C2C(=O)[NH+]=C(S2)Nc3nc(cs3)c4csc(n4)NC5=[NH+]C(=O)C(=Cc6ccccc6)S5
O=C(NCc1c2nc3c(nc2n2c1C=CC=C2)cccc3)CC[N+H](C)C,C[NH+](C)CCC(=O)NCc1c2ccccn2c3c1nc4ccccc4n3
FC(F)(F)C1=Cn2c([n+H]c(-c3cc(O)ccc3)c2)C=C1,c1cc(cc(c1)O)c2cn3cc(ccc3[nH+]2)C(F)(F)F
Clc1cc2N(CCC[N+H]3C4CC(O)CC3CC4)c3c(Sc2cc1)cccc3,c1ccc2c(c1)N(c3cc(ccc3S2)Cl)CCC[NH+]4C5CCC4CC(C5)O
O(C)c1c2O[C@H]3C4(OC)C5C(=O)NNC(=O)C5C5(C63c2c(cc1)CC5[N+H](C)CC6)C=C4,C[NH+]1CCC23c4c5ccc(c4OC2C6(C=CC3(C1C5)C7C6C(=O)NNC7=O)OC)OC
O=C(NC1=C([N+H2]C(CC)CC)C(=O)c2c(C1=O)cccc2)C,CCC(CC)[NH2+]C1=C(C(=O)c2ccccc2C1=O)NC(=O)C
FC(F)(F)c1cc2c(c(C(O)CC[N+H2]CCCC)cc3c2cc(C(F)(F)F)cc3)cc1,CCCC[NH2+]CCC(c1cc2ccc(cc2c3c1ccc(c3)C(F)(F)F)C(F)(F)F)O
Clc1c(/C=N/NC(=[N+H2])C(=[N+H2])N/N=C/c2c(Cl)cc(Cl)cc2)ccc(Cl)c1,c1cc(c(cc1Cl)Cl)C=NNC(=[NH2+])C(=[NH2+])NN=Cc2ccc(cc2Cl)Cl
O=C(NCC[N+H](C)C)c1c2nc3c(cc2c(C)cc1)cccc3,Cc1ccc(c2c1cc3ccccc3n2)C(=O)NCC[NH+](C)C
P(=O)(OC(COC)C[N+H](CCCCCCCCCCCCCCCCCC)C)(OCC[N+](C)(C)C)[O-],CCCCCCCCCCCCCCCCCC[NH+](C)CC(COC)OP(=O)([O-])OCC[N+](C)(C)C
O(C)c1c(C[N+H2]CCCN2C(=O)c3c4c5c(C(=O)N(CCC[N+H2]CCCC[N+H2]CCC[N+H2]C)C(=O)c5ccc4C2=O)cc3)cccc1,C[NH2+]CCC[NH2+]CCCC[NH2+]CCCN1C(=O)c2ccc3c4c2c(ccc4C(=O)N(C3=O)CCC[NH2+]Cc5ccccc5OC)C1=O
O=C(OCC)COc1c(/C=C/2\C(=O)C(C[N+H](C)C)CC\2)cccc1,CCOC(=O)COc1ccccc1C=C2CCC(C2=O)C[NH+](C)C
ClC=1[C@H](O)[C@@H]([C@H]([N+H3])C(=O)[O-])ON=1,C1(C(ON=C1Cl)C(C(=O)[O-])[NH3+])O
O(NC(=O)C(C(=[N+H2])NOC(=O)c1ccccc1)C1CCCCC1)C(=O)c1ccccc1,c1ccc(cc1)C(=O)ONC(=[NH2+])C(C2CCCCC2)C(=O)NOC(=O)c3ccccc3
Brc1c([O-])c(Br)cc(CC[N+H2]C=2C(=O)c3ncccc3C(=O)C=2)c1,c1cc2c(nc1)C(=O)C(=CC2=O)[NH2+]CCc3cc(c(c(c3)Br)[O-])Br
Fc1ccc(C2NC(=[N+H2])NC=3c4c(OCCC2=3)c2c(cc4)cccc2)cc1,c1ccc2c(c1)ccc3c2OCCC4=C3NC(=[NH2+])NC4c5ccc(cc5)F
Fc1ccc(C[N+H2][C@H]2c3c([C@H](c4cc(OC)c(O)c(OC)c4)[C@@H]4C(=O)OCC24)cc2OCOc2c3)cc1,COc1cc(cc(c1O)OC)C2c3cc4c(cc3C(C5C2C(=O)OC5)[NH2+]Cc6ccc(cc6)F)OCO4
Ic1cc2C(=O)C=3c4c(C(=O)N(CCC[N+]#[N+][N-H])C=3c2cc1)cc([N+](=O)[O-])cc4,c1cc2c(cc1[N+](=O)[O-])c(=O)n(c-3c2C(=O)c4c3ccc(c4)I)CCC[N+]#[N+][NH-]
O=C(OC)[C@H]1N2[C@]3(/C=C/C=4[C@H]5[C@H]([C@H]6[N+H](C)[C@H](c7n(C)c8c(c7C6)cccc8)C5)COC=4)[C@H]4[N+H](C/C(=C\C)/[C@@H]1C4)CC[C@@H]3c1c2cccc1,CC=C1C[NH+]2CCC3c4ccccc4N5C3(C2CC1C5C(=O)OC)C=CC6=COCC7C6CC8c9c(c1ccccc1n9C)CC7[NH+]8C
O(C)c1c(O)c(OC)cc([C@H]2[C@H]3C(=O)OCC3[C@H]([N+H2]Cc3ccccc3)c3c2cc2OCOc2c3)c1,COc1cc(cc(c1O)OC)C2c3cc4c(cc3C(C5C2C(=O)OC5)[NH2+]Cc6ccccc6)OCO4
O=[N+]([O-])c1cc(/C=C/C=C/c2cc(N3C(C)(C)[N+H]=C(N)[N+H]=C3N)ccc2)ccc1,CC1([NH+]=C([NH+]=C(N1c2cccc(c2)C=CC=Cc3cccc(c3)[N+](=O)[O-])N)N)C
Cl/C(/Cl)=C(/Cl)\C(\[N+](=O)[O-])=C(/Sc1ccccc1)\[N+H]1CCOCC1,c1ccc(cc1)SC(=C(C(=C(Cl)Cl)Cl)[N+](=O)[O-])[NH+]2CCOCC2
S(C)C=1N(C[N+H]2CCCCC2)C(=O)/C(=C\c2ccc(OC)cc2)/[N+H]=1,COc1ccc(cc1)C=C2C(=O)N(C(=[NH+]2)SC)C[NH+]3CCCCC3
O=[N+]([O-])c1cc2c3c(C(=O)N(CC[N+H2]CCCNC(=O)c4c5c(nc(-c6ccccc6)c4)cccc5)C(=O)c3ccc2)c1,c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)NCCC[NH2+]CCN4C(=O)c5cccc6c5c(cc(c6)[N+](=O)[O-])C4=O
Clc1cc2nc3c(c(Nc4cc(C[N+H](CC)CC)c(O)c(CC=C)c4)c2cc1)cc(OC)cc3,CC[NH+](CC)Cc1cc(cc(c1O)CC=C)Nc2c3ccc(cc3nc4c2cc(cc4)OC)Cl
Clc1c2C(=C)[C@H]3[C@H](O)[C@H]4[C@H]([N+H](C)C)C([O-])=C(C(=O)N)C(=O)[C@@]4(O)C([O-])=C3C(=O)c2c([O-])cc1,C[NH+](C)C1C2C(C3C(=C)c4c(ccc(c4C(=O)C3=C(C2(C(=O)C(=C1[O-])C(=O)N)O)[O-])[O-])Cl)O
O=C1c2c(NCC[N+H](C)C)ccc3nc(C)n(c23)-c2c1cccc2,Cc1nc2ccc(c3c2n1c4ccccc4c3=O)NCC[NH+](C)C
[N+H2](CCC[N+H](CC)CC)Cc1c2c(nc(-c3ccccc3)c1)cccc2,CC[NH+](CC)CCC[NH2+]Cc1cc(nc2c1cccc2)c3ccccc3
FC1C2Oc3c(OC)ccc4c3C32C(O)(C=C1)C([N+H2]CC3)C4,COc1ccc2c3c1OC4C35CC[NH2+]C(C2)C5(C=CC4F)O
Cc1ccc(C2=N[N+H]=C3C(c4ccccc4)=Nc4c(N3C2)cccc4)cc1,Cc1ccc(cc1)C2=N[NH+]=C3C(=Nc4ccccc4N3C2)c5ccccc5
Clc1ccc(Cc2n(C[C@H]3C4[N+H](CCC3)CCCC4)c3c(n2)cc([N+](=O)[O-])cc3)cc1,c1cc(ccc1Cc2nc3cc(ccc3n2CC4CCC[NH+]5C4CCCC5)[N+](=O)[O-])Cl
Clc1c2c(Nc3ccc(S(=O)(=O)NC(=N)N)cc3)c3c(nc2c(C(=O)NCC[N+H](C)C)cc1)cccc3,C[NH+](C)CCNC(=O)c1ccc(c2c1nc3ccccc3c2Nc4ccc(cc4)S(=O)(=O)NC(=N)N)Cl
O=C(C[N+H](C)C)N1c2c(cc(OC)c(Nc3nc(N4c5c(cccc5)CC4)c4c([nH]cc4)n3)c2)CC1,C[NH+](C)CC(=O)N1CCc2c1cc(c(c2)OC)Nc3nc4c(cc[nH]4)c(n3)N5CCc6c5cccc6
O=C1C(c2c3c(n4c2C[C@@H]2[C@H](C[N+H](C)C2)C4)cccc3)=C(c2c3c(n(C)c2)cccc3)C(=O)N1,Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4c5ccccc5n6c4CC7C[NH+](CC7C6)C
Clc1c(C2SCC3=[N+H]c4c(ccc(OC)c4)CN23)cccc1,COc1ccc2c(c1)[NH+]=C3CSC(N3C2)c4ccccc4Cl
O=C1C([N+H3])=CC(=N)C2=C1NC(=O)C=C2,c1cc(=O)[nH]c2c1C(=N)C=C(C2=O)[NH3+]
O(C/C=C/c1ccccc1)c1c(C([N+H]2CCOCC2)n2nc3c(n2)cccc3)cccc1,c1ccc(cc1)C=CCOc2ccccc2C(n3nc4ccccc4n3)[NH+]5CCOCC5
S(=O)(=O)(OCC[N+H]1CCC2(SC3(SS2)CC[N+H](CCOS(=O)(=O)C)CC3)CC1)C,CS(=O)(=O)OCC[NH+]1CCC2(CC1)SC3(CC[NH+](CC3)CCOS(=O)(=O)C)SS2
BrC1C(=O)C(C[N+H](C)C)CCCCC1,C[NH+](C)CC1CCCCCC(C1=O)Br
[N+H2]=C(N/N=C(/C)\c1cc2c(-c3c(cccc3)C2)cc1)NC,CC(=NNC(=[NH2+])NC)c1ccc-2c(c1)Cc3c2cccc3
O(C)c1c(OC)cc(/C=C/2\C(=O)N(c3sc4c(n3)cccc4)C(c3ccccc3)=[N+H]\2)cc1OC,COc1cc(cc(c1OC)OC)C=C2C(=O)N(C(=[NH+]2)c3ccccc3)c4nc5ccccc5s4
O=C1c2c(NCC[N+H2]CCO)c3[nH]ccc3c(NCC[N+H2]CCO)c2C(=O)c2c1cccc2,c1ccc2c(c1)C(=O)c3c(c(c4c(c3NCC[NH2+]CCO)cc[nH]4)NCC[NH2+]CCO)C2=O
FC(F)(F)c1[n+H]ccc(NCc2ccc(C(=O)Nc3c(O)cccc3)cc2)c1,c1ccc(c(c1)NC(=O)c2ccc(cc2)CNc3cc[nH+]c(c3)C(F)(F)F)O
Oc1c(O)c(C(C)C)c2c(c(O)c(-c3c(O)c4c(/C=N\CC[N+H](CC)CC)c(O)c(O)c(C(C)C)c4cc3C)c(C)c2)c1/C=N/CC[N+H](CC)CC,CC[NH+](CC)CCN=Cc1c2c(cc(c(c2O)c3c(cc4c(c3O)c(c(c(c4C(C)C)O)O)C=NCC[NH+](CC)CC)C)C)c(c(c1O)O)C(C)C
O(C)c1c(C[N+H](CCCCCCCCCCN2C(=O)CN(CCCCCCCCCC[N+H](CC)Cc3c(OC)cccc3)C(=O)C2)CC)cccc1,CC[NH+](CCCCCCCCCCN1CC(=O)N(CC1=O)CCCCCCCCCC[NH+](CC)Cc2ccccc2OC)Cc3ccccc3OC
Clc1ccc(/C=C/c2ccc(C(O)C[N+H](C)C)cc2)cc1,C[NH+](C)CC(c1ccc(cc1)C=Cc2ccc(cc2)Cl)O
O=C1N(C)C(=O)c2n-3c(N(CCC[N+H](CC)CC)C(=O)c4c-3cccc4)nc2N1C,CC[NH+](CC)CCCn1c(=O)c2ccccc2n3c1nc4c3c(=O)n(c(=O)n4C)C
O=C1C([N+H2]CCN(C)C)=CC(=O)c2c([O-])ccc([O-])c12,CN(C)CC[NH2+]C1=CC(=O)c2c(ccc(c2C1=O)[O-])[O-]
Clc1cc2[n+H]ccc(NCCCNc3nc(Nc4ccc(C)cc4)cc(C)n3)c2cc1,Cc1ccc(cc1)Nc2cc(nc(n2)NCCCNc3cc[nH+]c4c3ccc(c4)Cl)C
O=C1c2c(NCC[N+H](C)C)c3c(C[N+H](C)C)c[nH]c3c(NCC[N+H](C)C)c2C(=O)c2c1cccc2,C[NH+](C)CCNc1c2c(c[nH]c2c(c3c1C(=O)c4ccccc4C3=O)NCC[NH+](C)C)C[NH+](C)C
O=C(N[C@@H]1C(=O)C=2[C@@](C)(C3C(C4[C@@](C)([C@@H](C([N+H2]C)C)CC4)CC3)CC=2)CC1)/C=C(\C)/C,CC(C1CCC2C1(CCC3C2CC=C4C3(CCC(C4=O)NC(=O)C=C(C)C)C)C)[NH2+]C
Oc1c(C[N+H](CC)CC)ccc2c1nccc2,CC[NH+](CC)Cc1ccc2cccnc2c1O
Clc1c(CCN2CC[N+H2]CC2)cc2c(NC(=O)C2)c1,c1c2c(cc(c1CCN3CC[NH2+]CC3)Cl)NC(=O)C2
O=C1c2c(NCC[N+H2]CCO)ccc3ncn(c23)-c2c1cccc2,c1ccc2c(c1)c(=O)c3c(ccc4c3n2cn4)NCC[NH2+]CCO
S(Cc1ccccc1)c1c(C[N+H]2CCN(Cc3c(SCc4ccccc4)cccc3)CCN(Cc3c(SCc4ccccc4)cccc3)CC2)cccc1,c1ccc(cc1)CSc2ccccc2C[NH+]3CCN(CCN(CC3)Cc4ccccc4SCc5ccccc5)Cc6ccccc6SCc7ccccc7
Clc1cc(N2/C(=[N+H]\c3sc4c(n3)cccc4)/C(=C/C=C/c3ccccc3)/C(C)=N2)ccc1,CC1=NN(C(=[NH+]c2nc3ccccc3s2)C1=CC=Cc4ccccc4)c5cccc(c5)Cl
FC(F)(F)C(=O)NCCC[N+H2]CCCC[N+H2]CCCNC(=O)C(F)(F)F,C(CC[NH2+]CCCNC(=O)C(F)(F)F)C[NH2+]CCCNC(=O)C(F)(F)F
O=C(n1nc(C)c2C(c3ccc(O)cc3)SC(=[N+H2])Nc12)c1c(O)cccc1,Cc1c2c(n(n1)C(=O)c3ccccc3O)NC(=[NH2+])SC2c4ccc(cc4)O
Clc1ccc(-c2[n+H]c3SC=C(CC(=O)N/N=C\c4c(O)cccc4)n3c2)cc1,c1ccc(c(c1)C=NNC(=O)Cc2csc3n2cc([nH+]3)c4ccc(cc4)Cl)O
O(C)c1c(OC)cc2c(c1)C1[N+H](CC2)CCC2C1CCCC2,COc1cc2c(cc1OC)C3C4CCCCC4CC[NH+]3CC2
O=C(O[C@H]1/C(=C\c2cc(OC)c(OCC[N+H](CC)CC)cc2)/C[C@@H]2[C@]1(C)CC[C@@H]1[C@]3(C)C(=CC[C@@H]21)C[C@@H](OC(=O)C)CC3)C,CC[NH+](CC)CCOc1ccc(cc1OC)C=C2CC3C4CC=C5CC(CCC5(C4CCC3(C2OC(=O)C)C)C)OC(=O)C
S(CCOc1ccc(C(=[N+H2])NCCCC)cc1)CCOc1ccc(C(=[N+H2])NCCCC)cc1,CCCCNC(=[NH2+])c1ccc(cc1)OCCSCCOc2ccc(cc2)C(=[NH2+])NCCCC
O=C1c2c([O-])c3c(CN4CC[N+H](CCO)CC4)c[nH]c3c([O-])c2C(=O)c2c1cccc2,c1ccc2c(c1)C(=O)c3c(c(c4c(c3[O-])c(c[nH]4)CN5CC[NH+](CC5)CCO)[O-])C2=O
Fc1c(C[N+H2][C@@H]2c3c([C@@H](c4cc(OC)c(O)c(OC)c4)[C@H]4C(=O)OCC24)cc2OCOc2c3)cccc1,COc1cc(cc(c1O)OC)C2c3cc4c(cc3C(C5C2C(=O)OC5)[NH2+]Cc6ccccc6F)OCO4
O=C1[C@H](C[N+H](C)C)CC[C@@H]1C[N+H](C)C,C[NH+](C)CC1CCC(C1=O)C[NH+](C)C
O=C1C(c2c3c(n(CCCNC(=[N+H2])N)c2)cccc3)=C(c2c3c(n(C)c2)cccc3)C(=O)N1,Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4cn(c5c4cccc5)CCCNC(=[NH2+])N
O=C1c2nc3c(c4c2c(C([N+H2]CCN)=C1)ncc4)cccc3,c1ccc2c(c1)c3ccnc4c3c(n2)C(=O)C=C4[NH2+]CCN
O=C(N[C@@H]1[C@H](OC(=O)C)C2[C@@](C)(C3C(C4[C@@](C)([C@@H](C([N+H](C)C)C)CC4)CC3)CC2)CC1)/C(=C\C)/C,CC=C(C)C(=O)NC1CCC2(C(C1OC(=O)C)CCC3C2CCC4(C3CCC4C(C)[NH+](C)C)C)C
O(CC[N+H]1CCN(CCOc2c(OC)cc3C(=O)N4[C@H](C=Nc3c2)CCC4)CC1)c1c(OC)cc2C(=O)N3[C@H](C=Nc2c1)CCC3,COc1cc2c(cc1OCC[NH+]3CCN(CC3)CCOc4cc5c(cc4OC)C(=O)N6CCCC6C=N5)N=CC7CCCN7C2=O
FC(F)(F)c1nc(-c2ccc(C(F)(F)F)cc2)cc([C@H](O)[C@@H]2[N+H2]CCCC2)c1,c1cc(ccc1c2cc(cc(n2)C(F)(F)F)C(C3CCCC[NH2+]3)O)C(F)(F)F
O=C(C[N+H2]CCN(C)C)N1CCN(c2nc3c(c4C(=O)c5c(-c24)ccc(OC)c5)cccc3)CC1,CN(C)CC[NH2+]CC(=O)N1CCN(CC1)c2c-3c(c4ccccc4n2)C(=O)c5c3ccc(c5)OC
OCC(C)(C)N1C(CCCCCCCCCCCCCCCCC)=[N+H]C(C)(C)C1,CCCCCCCCCCCCCCCCCC1=[NH+]C(CN1C(C)(C)CO)(C)C
Clc1c2c(c(O)c(C[N+H2]CCC[N+H]3CCCC3)c1)nccc2,c1cc2c(cc(c(c2nc1)O)C[NH2+]CCC[NH+]3CCCC3)Cl
O(C)c1c(OC)cc2c(C(=O)N(C)C=3c4c(/C(=C/CC[N+H2]CCC[N+H3])/C2=3)cc2OCOc2c4)c1,Cn1c-2c(c3cc(c(cc3c1=O)OC)OC)C(=CCC[NH2+]CCC[NH3+])c4c2cc5c(c4)OCO5
Fc1cc(C[N+H2][C@@H]2c3c([C@@H](c4cc(OC)c(O)c(OC)c4)[C@H]4C(=O)OCC24)cc2OCOc2c3)ccc1,COc1cc(cc(c1O)OC)C2c3cc4c(cc3C(C5C2C(=O)OC5)[NH2+]Cc6cccc(c6)F)OCO4
[N+H](CC)(CC)Cc1ccc(Nc2c3c(nc4c2cccc4)cccc3)cc1,CC[NH+](CC)Cc1ccc(cc1)Nc2c3ccccc3nc4c2cccc4
O=C(NCC[N+H](CCNC(=O)c1c2c(n(C)c1)c1c(cc2)cccc1)C)c1c2c(n(C)c1)c1c(cc2)cccc1,Cn1cc(c2c1c3ccccc3cc2)C(=O)NCC[NH+](C)CCNC(=O)c4cn(c5c4ccc6c5cccc6)C
[N+H2]=C(N/N=C\c1c(-c2cscc2)nc2SCCn12)N,c1cscc1c2c(n3c(n2)SCC3)C=NNC(=[NH2+])N
O(C)c1c(OC)cc(/C=C/2\C=3[N+H]=C(C)NC(c4cc(OC)c(OC)c(OC)c4)C=3CCC\2)cc1OC,CC1=[NH+]C2=C(CCCC2=Cc3cc(c(c(c3)OC)OC)OC)C(N1)c4cc(c(c(c4)OC)OC)OC
Brc1[nH]c(C2=N/C(=C\[N+H2]CC(C)C)/C(OC)=C2)cc1,CC(C)C[NH2+]C=C1C(=CC(=N1)c2ccc([nH]2)Br)OC
Clc1ccc(-c2nc3c(c(C(O)C4[N+H2]CCCC4)c2)cccc3)cc1,c1ccc2c(c1)c(cc(n2)c3ccc(cc3)Cl)C(C4CCCC[NH2+]4)O
S(C)C1=C(C(=O)Nc2ccc(OC)cc2)C(N)=[N+H]C(=O)C1C#N,COc1ccc(cc1)NC(=O)C2=C(C(C(=O)[NH+]=C2N)C#N)SC
O=C(C(C[N+H](C)C)c1ccccc1)Cc1ccccc1,C[NH+](C)CC(c1ccccc1)C(=O)Cc2ccccc2
O=C1N(CCCCCCC[N+H3])C=2c3c(C(=O)C=2c2c1cccc2)cccc3,c1ccc2c(c1)c3c(n(c2=O)CCCCCCC[NH3+])-c4ccccc4C3=O
O=[N+]([O-])c1c2c(NCC[N+H2]CCNC(=O)CC[C@H](NC(=O)C3N(C(=O)COC4C(O)C(CO)OC(OCc5ccccc5)C4NC(=O)C)CCC3)C(=O)N)c3c([n+H]c2ccc1)cccc3,CC(=O)NC1C(C(C(OC1OCc2ccccc2)CO)O)OCC(=O)N3CCCC3C(=O)NC(CCC(=O)NCC[NH2+]CCNc4c5ccccc5[nH+]c6c4c(ccc6)[N+](=O)[O-])C(=O)N
Clc1ccc(-c2c(N3CC[N+H](C)CC3)c3c(o2)ccc(OC)c3)cc1,C[NH+]1CCN(CC1)c2c3cc(ccc3oc2c4ccc(cc4)Cl)OC
O=C(/C=C/c1ccccc1)CC([N+H]1CCOCC1)c1ccccc1,c1ccc(cc1)C=CC(=O)CC(c2ccccc2)[NH+]3CCOCC3
OCC[N+H]1CCN(c2c3c4nn(C)nc4ccc3[n+H]cc2)CC1,Cn1nc2ccc3c(c2n1)c(cc[nH+]3)N4CC[NH+](CC4)CCO
O=C(/C(=C\c1ccccc1)/C[N+H2]C(C)(C)C)c1ccccc1,CC(C)(C)[NH2+]CC(=Cc1ccccc1)C(=O)c2ccccc2
O=[N+]([O-])c1c2c(NC(C[N+H](C)C)C)c3c([n+H]c2ccc1)ccc(OC)c3,CC(C[NH+](C)C)Nc1c2cc(ccc2[nH+]c3c1c(ccc3)[N+](=O)[O-])OC
O=C1c2c(NCC[N+H](C)C)c3c(CO)c[nH]c3c(NCC[N+H](C)C)c2C(=O)c2c1cccc2,C[NH+](C)CCNc1c2c(c[nH]c2c(c3c1C(=O)c4ccccc4C3=O)NCC[NH+](C)C)CO
N(C)(C)c1nc(-c2cc(C3=[N+H]C(C)CN3)ccc2)nc(-c2cc(C3=[N+H]C(C)CN3)ccc2)n1,CC1CNC(=[NH+]1)c2cccc(c2)c3nc(nc(n3)N(C)C)c4cccc(c4)C5=[NH+]C(CN5)C
O(C)c1c(OC)cc(NC(CCC[N+H3])C)c2nccc(C)c12,Cc1ccnc2c1c(c(cc2NC(C)CCC[NH3+])OC)OC
O=[N+]([O-])c1cc2C(=O)N(CCC[N+]#[N+][N-H])C=3c4c(C(=O)C=3c2cc1)cc(C#N)cc4,c1cc-2c(cc1C#N)C(=O)c3c2n(c(=O)c4c3ccc(c4)[N+](=O)[O-])CCC[N+]#[N+][NH-]
O=[N+]([O-])c1cc2c3c(C(=O)N(c4ccc(OCC[N+H](CC)CC)cc4)C(=O)c3ccc2)c1,CC[NH+](CC)CCOc1ccc(cc1)N2C(=O)c3cccc4c3c(cc(c4)[N+](=O)[O-])C2=O
Clc1cc2C(N3CC[N+H2]CC3)=[N+H]c3c(Oc2cc1)cccc3,c1ccc2c(c1)[NH+]=C(c3cc(ccc3O2)Cl)N4CC[NH2+]CC4
Fc1c(C(=O)N)c(Nc2nc(Nc3c(OC)cc4c(N(C(=O)CN5CC[N+H](C(C)C)CC5)CC4)c3)nc3[nH]ccc23)ccc1,CC(C)[NH+]1CCN(CC1)CC(=O)N2CCc3c2cc(c(c3)OC)Nc4nc5c(cc[nH]5)c(n4)Nc6cccc(c6C(=O)N)F
O(CCOc1ccc(C[N+H](CCCCCC)C)cc1)c1ccc(C[N+H](CCCCCC)C)cc1,CCCCCC[NH+](C)Cc1ccc(cc1)OCCOc2ccc(cc2)C[NH+](C)CCCCCC
O=C(N[C@@H]1CC2[C@@](C)(C3C(C4[C@@](C)([C@@H](C([N+H](C)C)C)C(OC(=O)C)C4)CC3)CC2)CC1)/C=C(\C)/C,CC(C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)NC(=O)C=C(C)C)C)C)OC(=O)C)[NH+](C)C
[N+H2]=C(N)c1cnc(-c2oc(-c3ccc(N(C)C)cc3)cc2)cc1,CN(C)c1ccc(cc1)c2ccc(o2)c3ccc(cn3)C(=[NH2+])N
O=C(n1nc(C)c2C(c3c(O)c4c(cc3)cccc4)SC(=[N+H2])Nc12)c1c(O)cccc1,Cc1c2c(n(n1)C(=O)c3ccccc3O)NC(=[NH2+])SC2c4ccc5ccccc5c4O
S(c1ccc(C)cc1)C1=C([N+H](C)C)C(=O)c2c(C1=O)cccc2,Cc1ccc(cc1)SC2=C(C(=O)c3ccccc3C2=O)[NH+](C)C
O(C)c1c(O)c(C2C(C)C([N+H]3CCOCC3)Oc3c2cc2OCOc2c3)ccc1,CC1C(c2cc3c(cc2OC1[NH+]4CCOCC4)OCO3)c5cccc(c5O)OC
Fc1ccc(/C(=N\NC(=[N+H2])N)/CCCC)cc1,CCCCC(=NNC(=[NH2+])N)c1ccc(cc1)F
O[C@@H]([C@@H](O)C[N+H]1CC1)C[N+H]1CC1,C1C[NH+]1CC(C(C[NH+]2CC2)O)O
S=C(N/N=C\1/C(=O)N(C[N+H]2CCOCC2)c2c/1cc([N+](=O)[O-])cc2)NC1CCCCC1,c1cc2c(cc1[N+](=O)[O-])C(=NNC(=S)NC3CCCCC3)C(=O)N2C[NH+]4CCOCC4
O=C1NNC(N)=[N+H]c2ncccc12,c1cc2c(nc1)[NH+]=C(NNC2=O)N
O=C(C)[C@@]1(O)C[C@H](OC2OC(C)C(O)C([N+H](Cc3ccccc3)Cc3ccccc3)C2)c2c([O-])c3C(=O)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)C)O)[NH+](Cc6ccccc6)Cc7ccccc7)O
O=C([O-])C1C(C(=O)[O-])C2[N+H](Cc3ccccc3)C1C(=O)C=C2,c1ccc(cc1)C[NH+]2C3C=CC(=O)C2C(C3C(=O)[O-])C(=O)[O-]
Brc1ccc(CC(=O)OC[N+H3])cc1,c1cc(ccc1CC(=O)OC[NH3+])Br
Brc1sc(/C=C/2\C(=O)N(C[N+H]3CCOCC3)C(SC3C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(COC(=O)C)O3)=[N+H]\2)cc1,CC(=O)OCC1C(C(C(C(O1)SC2=[NH+]C(=Cc3ccc(s3)Br)C(=O)N2C[NH+]4CCOCC4)OC(=O)C)OC(=O)C)OC(=O)C
Clc1ccc(/C=C/2\C(=O)/C(=C\c3ccc(Cl)cc3)/C[N+H2]C\2)cc1,c1cc(ccc1C=C2C[NH2+]CC(=Cc3ccc(cc3)Cl)C2=O)Cl
