invalid_smiles,Canonicalized
O(C)c1c(OC)ccc([C@@H]2C(c3ccc(OC)cc3)=C[C@@]3(O)[N+H](C2)CCC3)c1,COc1ccc(cc1)C2=CC3(CCC[NH+]3CC2c4ccc(c(c4)OC)OC)O
O(C)c1c(OC)cc-2c([C@@H]3C(c4c-2cc(OC)c(OC)c4)=C[C@@]2(O)[N+H](C3)CCC2)c1,COc1cc-2c(cc1OC)C3C[NH+]4CCCC4(C=C3c5c2cc(c(c5)OC)OC)O
P(=O)(O[C@H]1C(C)(C)C2(O[C@@H](C/C=C/c3nc([C@@H](CCNC(=O)[C@@H](O)[C@H](O)[C@@H]([N+H](C)C)COC)C)oc3)[C@@H](C)[C@@H](O)C2)OC1[C@@H](OC)C[C@H](O)[C@H]([C@H](O)[C@H](/C=C(\C(=C/C=C/C(=C\C#N)/C)\C)/C)C)C)([O-])[O-],CC1C(CC2(C(C(C(O2)C(CC(C(C)C(C(C)C=C(C)C(=CC=CC(=CC#N)C)C)O)O)OC)OP(=O)([O-])[O-])(C)C)OC1CC=Cc3coc(n3)C(C)CCNC(=O)C(C(C(COC)[NH+](C)C)O)O)O
O=C(C)[C@@]1(O)C[C@H](OC2OC(C)C(O)C([N+H](C)C)C2)c2c([O-])c3C(=O)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)C)O)[NH+](C)C)O
O=C([O-])C([N+H3])CC(=O)Oc1c(OC)ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c1,COc1ccc(cc1OC(=O)CC(C(=O)[O-])[NH3+])C=Cc2cc(c(c(c2)OC)OC)OC
O=[N+]([O-])c1n(CCCNc2c3c([N+](=O)[O-])cccc3[n+H]c3c2cccc3)ccn1,c1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCCCn4ccnc4[N+](=O)[O-]
O=[N+]([O-])c1c2c(NCCOC(=O)CC[C@@H](NC(=O)[C@@H](NC(=O)C(OC3C(O)C(CO)OC(OCc4ccccc4)C3NC(=O)C)C)C)C(=O)N)c3c([n+H]c2ccc1)cccc3,CC(C(=O)NC(CCC(=O)OCCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-])C(=O)N)NC(=O)C(C)OC4C(C(OC(C4O)CO)OCc5ccccc5)NC(=O)C
O=C(CO)[C@@]1(O)C[C@H](OC2OC(C)C3OC[N+H](CN4C5C(C(C)OC(O[C@@H]6c7c([O-])c8C(=O)c9c(OC)cccc9C(=O)c8c([O-])c7C[C@@](O)(C(=O)CO)C6)C5)OC4)C3C2)c2c([O-])c3C(=O)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C2C(CC(O1)OC3CC(Cc4c3c(c5c(c4[O-])C(=O)c6cccc(c6C5=O)OC)[O-])(C(=O)CO)O)[NH+](CO2)CN7COC8C7CC(OC8C)OC9CC(Cc1c9c(c2c(c1[O-])C(=O)c1cccc(c1C2=O)OC)[O-])(C(=O)CO)O
O=C(O[C@H]1[C@](O)(C(=O)OC)[C@@H]2N(C)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4CC[N+H]4C[C@](O)(CC)C[C@H](C3)C4)cccc5)[C@@]32[C@@H]2[C@@]1(CC)C=CC[N+H]2CC3)C,CCC1(CC2CC(c3c(c4ccccc4[nH]3)CC[NH+](C2)C1)(c5cc6c(cc5OC)N(C7C68CC[NH+]9C8C(C=CC9)(C(C7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC)O
O=C(NC(C(=O)N([C@H]([C@H](OC)CC(=O)N1[C@H]([C@H](OC)[C@H](C(=O)NCCc2ccccc2)C)CCC1)[C@H](CC)C)C)C(C)C)[C@@H]([N+H](C)C)C(C)C,CCC(C)C(C(CC(=O)N1CCCC1C(C(C)C(=O)NCCc2ccccc2)OC)OC)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)[NH+](C)C
O=C(OC(OC(=O)C)CCCC[N+H2]C1C(O)C(C)OC(O[C@H]2c3c([O-])c4C(=O)c5c(OC)cccc5C(=O)c4c([O-])c3C[C@@](O)(C(=O)CO)C2)C1)C,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)CO)O)[NH2+]CCCCC(OC(=O)C)OC(=O)C)O
O=[N+]([O-])c1c2c(NCCC[N+H2]C)c3c([n+H]c2ccc1)cccc3,C[NH2+]CCCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-]
O=C([O-])[C@H]1[C@H](C)C(=O)N[C@@H](CCCNC(=[N+H2])N)C(=O)N[C@@H](/C=C/C(=C\[C@@H]([C@@H](OC)Cc2ccccc2)C)/C)[C@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N(C)C(=C)C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N1,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)[O-])C)C)CC(C)C)C(=O)[O-])C)CCCNC(=[NH2+])N)C=CC(=CC(C)C(Cc2ccccc2)OC)C
O=C(OC)[C@H]1[C@](O)(C)C[C@H](OC2C(OC)C(OC)(C)C(OC)C(C)O2)c2c([O-])c3C(=O)c4c([O-])cc5[C@@]6(C)[C@H](O)[C@@H]([N+H](C)C)[C@H](O)[C@H](O6)Oc5c4C(=O)c3cc12,CC1C(C(C(C(O1)OC2CC(C(c3c2c(c4c(c3)C(=O)c5c(c(cc6c5OC7C(C(C(C6(O7)C)O)[NH+](C)C)O)[O-])C4=O)[O-])C(=O)OC)(C)O)OC)(C)OC)OC
O=[N+]([O-])c1c2c(NCCO)c3c([n+H]c2ccc1)cccc3,c1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCCO
O(C)[C@H]1[C@@H]([N+H2]C)C[C@@H]2O[C@]1(C)n1c3c4n2c2c(c4c4C(=O)NCc4c3c3c1cccc3)cccc2,CC12C(C(CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)[NH2+]C)OC
O=C(O[C@H]1[C@](O)(C(=O)OC)[C@@H]2N(C=O)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4C[N+@H]4CC(CC)=C[C@@H](C3)C4)cccc5)[C@@]32[C@@H]2[C@@]1(CC)[C@H]1[C@@H](C[N+H]2CC3)C1)C,CCC1=CC2CC(c3c(c4ccccc4[nH]3)C[NH+](C2)C1)(c5cc6c(cc5OC)N(C7C68CC[NH+]9C8C(C1CC1C9)(C(C7(C(=O)OC)O)OC(=O)C)CC)C=O)C(=O)OC
O=C(CO)[C@@]1(O)C[C@H](OC2OC(C)C(O)C([N+H]3CCOCC3)C2)c2c([O-])c3C(=O)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)CO)O)[NH+]6CCOCC6)O
O=[N+]([O-])c1c2c(NCCCCC[N+H](C)C)c3c([n+H]c2ccc1)cccc3,C[NH+](C)CCCCCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-]
O=[N+]([O-])c1c2c(NCCC[N+H](C)C)c3c([n+H]c2ccc1)cccc3,C[NH+](C)CCCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-]
O=[N+]([O-])c1cc2C(=O)N(CCC[N+]#[N+][N-H])C=3c4c(C(=O)C=3c2cc1)cc(OC)cc4,COc1ccc-2c(c1)C(=O)c3c2n(c(=O)c4c3ccc(c4)[N+](=O)[O-])CCC[N+]#[N+][NH-]
O(C)c1c(OC)cc2c(c3c(c4[C@@H](O)[C@H]5[N+H](Cc24)CCC5)ccc(O)c3)c1,COc1cc2c3cc(ccc3c4c(c2cc1OC)C[NH+]5CCCC5C4O)O
O=C1c2c([O-])ccc([O-])c2C(=O)c2c(NCC[N+H3])ccc(NCC[N+H3])c12,c1cc(c2c(c1NCC[NH3+])C(=O)c3c(ccc(c3C2=O)[O-])[O-])NCC[NH3+]
O=[N+]([O-])c1c2c(NCCC(=O)OC)c3c([n+H]c2ccc1)cccc3,COC(=O)CCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-]
O=C(N(C)C)NC1(C(O)C)C(O)(C)C(O)(COC(=O)c2c(O)cccc2C)C(Nc2cc(C(=O)C)ccc2)C1[N+H3],Cc1cccc(c1C(=O)OCC2(C(C(C(C2(C)O)(C(C)O)NC(=O)N(C)C)[NH3+])Nc3cccc(c3)C(=O)C)O)O
O=[N+]([O-])c1cc2c3c(C(=O)N(CC[N+H2]CCNCCNCCN4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C(=O)c3ccc2)c1,c1cc2cc(cc3c2c(c1)C(=O)N(C3=O)CC[NH2+]CCNCCNCCN4C(=O)c5cccc6c5c(cc(c6)[N+](=O)[O-])C4=O)[N+](=O)[O-]
