Panel,top_n,cell line,num_observation,nDCG,DCG,iDCG
Prostate,35159,DU-145 ,35159,0.908682226677,19973.0001736,21980.1813959
Prostate,15000,DU-145 ,15000,0.862253120525,9699.08070816,11248.5307125
Prostate,1000,DU-145 ,1000,0.766964852245,1069.72595679,1394.7522545
Prostate,100,DU-145 ,100,0.790048165961,211.878156924,268.183847584
Prostate,35238,PC-3 ,35238,0.917355880636,20199.2268511,22018.9648068
Prostate,15000,PC-3 ,15000,0.87104115481,9797.93318171,11248.5307125
Prostate,1000,PC-3 ,1000,0.76371202175,1065.18906413,1394.7522545
Prostate,100,PC-3 ,100,0.777933916629,208.629310927,268.183847584
