Panel,top_n,cell line,num_observation,mean value,standard deviation
Prostate,35159,DU-145 ,35159,-4.64514306436,0.916559503174
Prostate,15000,DU-145 ,15000,-4.87862113333,1.01337797022
Prostate,1000,DU-145 ,1000,-5.56875,1.52887778043
Prostate,100,DU-145 ,100,-7.16448,1.40160439126
Prostate,35238,PC-3 ,35238,-4.71778298995,0.924430351645
Prostate,15000,PC-3 ,15000,-4.96483666667,0.99384263784
Prostate,1000,PC-3 ,1000,-5.550622,1.43604517586
Prostate,100,PC-3 ,100,-6.99828,1.46690707327
